Predicted_Rank,Team,Expected_Position
1,Bayern Munich,1.229
2,Leverkusen,2.998
3,Dortmund,3.156
4,RB Leipzig,3.9250000000000007
5,Eintracht Frankfurt,6.737
6,Stuttgart,7.337999999999999
7,Freiburg,9.833
8,Union Berlin,10.145000000000001
9,Wolfsburg,10.276000000000002
10,Mainz 05,10.389
11,Gladbach,10.651000000000002
12,Hoffenheim,11.771
13,St Pauli,13.268999999999998
14,Werder Bremen,13.320000000000004
15,Heidenheim,13.443000000000001
16,Augsburg,13.765999999999998
17,Hamburger SV,13.942999999999996
18,Koln,14.812000000000003
